"scenario","year","variable","value","units","source"
"ssp119",1750,"SV",0.18574567415812,"W/m2","old"
"ssp119",1751,"SV",0.185756746051751,"W/m2","old"
"ssp119",1752,"SV",0.185760471582431,"W/m2","old"
"ssp119",1753,"SV",0.18576171690695,"W/m2","old"
"ssp119",1754,"SV",0.185762135640938,"W/m2","old"
"ssp119",1755,"SV",0.161490510042689,"W/m2","old"
"ssp119",1756,"SV",-0.064139903755506,"W/m2","old"
"ssp119",1757,"SV",0.0654814896339626,"W/m2","old"
"ssp119",1758,"SV",0.143706674085902,"W/m2","old"
"ssp119",1759,"SV",0.171560263737479,"W/m2","old"
"ssp119",1760,"SV",0.180988300871404,"W/m2","old"
"ssp119",1761,"SV",0.184158544358859,"W/m2","old"
"ssp119",1762,"SV",-0.719878886481706,"W/m2","old"
"ssp119",1763,"SV",-0.439960121291351,"W/m2","old"
"ssp119",1764,"SV",-0.0390473245778304,"W/m2","old"
"ssp119",1765,"SV",0.109581666097217,"W/m2","old"
"ssp119",1766,"SV",-0.178487526704193,"W/m2","old"
"ssp119",1767,"SV",-0.230039677074036,"W/m2","old"
"ssp119",1768,"SV",0.0295441238874522,"W/m2","old"
"ssp119",1769,"SV",0.132534615874976,"W/m2","old"
"ssp119",1770,"SV",0.0363623484609721,"W/m2","old"
"ssp119",1771,"SV",0.0888930362775059,"W/m2","old"
"ssp119",1772,"SV",0.151100521690917,"W/m2","old"
"ssp119",1773,"SV",0.174022556957829,"W/m2","old"
"ssp119",1774,"SV",0.181814435676583,"W/m2","old"
"ssp119",1775,"SV",0.184436007695887,"W/m2","old"
"ssp119",1776,"SV",0.185316815581564,"W/m2","old"
"ssp119",1777,"SV",0.185612685670437,"W/m2","old"
"ssp119",1778,"SV",0.18571207513321,"W/m2","old"
"ssp119",1779,"SV",0.18574546502203,"W/m2","old"
"ssp119",1780,"SV",0.185756681470787,"W/m2","old"
"ssp119",1781,"SV",0.185760450572144,"W/m2","old"
"ssp119",1782,"SV",0.185761713038878,"W/m2","old"
"ssp119",1783,"SV",-1.60711130912752,"W/m2","old"
"ssp119",1784,"SV",-3.48754964258802,"W/m2","old"
"ssp119",1785,"SV",-1.32272119659233,"W/m2","old"
"ssp119",1786,"SV",-0.487257523800518,"W/m2","old"
